,congress_number,state,census,start,end,cd_num,population,percent_white,percent_black,percent_aapi,percent_aind,percent_hisp,percent_white_nh,percent_black_nh,percent_aapi_nh
100,118,NY,2020,2023,2025,20,776971,73.82,9.76,5.74,0.34,6.37,72.38,9.1,5.7
101,118,NY,2020,2023,2025,21,776971,88.45,2.6,1.14,0.91,4.09,87.04,2.36,1.11
102,118,NY,2020,2023,2025,22,776971,77.23,9.56,4.09,0.58,5.59,75.87,9.07,4.05
103,118,NY,2020,2023,2025,23,776971,89.12,2.43,1.19,0.86,3.76,87.99,2.26,1.17
104,118,NY,2020,2023,2025,24,776971,88.5,2.98,0.84,0.37,4.25,87.23,2.75,0.83
105,118,NY,2020,2023,2025,25,776971,69.09,15.34,4.24,0.28,9.47,67.13,14.54,4.19
106,118,NY,2020,2023,2025,26,776971,66.53,18.3,5.74,0.65,7.13,64.76,17.66,5.7
107,115,NJ,2010,2017,2019,1,732658,70.0,17.18,4.56,0.27,11.57,65.69,16.27,4.51
108,115,NJ,2010,2017,2019,2,732658,74.02,13.19,3.62,0.47,14.39,67.66,12.29,3.57
109,115,NJ,2010,2017,2019,3,732658,81.52,10.72,3.36,0.19,6.55,77.81,10.22,3.32
110,115,NJ,2010,2017,2019,4,732657,84.61,6.7,3.8,0.18,9.51,78.99,6.33,3.76
111,115,NJ,2010,2017,2019,5,732658,80.61,4.68,9.14,0.23,11.02,74.03,4.23,9.07
112,115,NJ,2010,2017,2019,6,732657,62.03,10.27,16.9,0.36,19.64,51.99,9.37,16.8
113,115,NJ,2010,2017,2019,7,732658,82.84,4.18,8.2,0.13,10.63,75.68,3.92,8.15
114,115,NJ,2010,2017,2019,8,732658,57.45,11.14,8.08,0.75,52.97,27.82,8.87,7.92
115,115,NJ,2010,2017,2019,9,732658,59.28,11.38,12.09,0.52,33.93,42.47,9.85,11.94
116,115,NJ,2010,2017,2019,10,732658,29.08,53.42,6.54,0.39,17.67,21.42,51.69,6.44
117,115,NJ,2010,2017,2019,11,732658,83.3,3.65,8.75,0.14,8.74,77.5,3.41,8.69
